Fecha,Monto,Categoria,Descripcion,Original
None,80.88,COMPRA,"LIMITE COMPRA 10.000.000 2ee FINANCIACION","LIMITE: COMPRA $ 10.000.000,2ee FINANCIACION $ 18.000.080,88"
6 Enero 26,29900.0,TRANSFERENCIA,"TRANSFERENCIA DEUDA 28 88 TC1","@6 Enero 26 TRANSFERENCIA DEUDA 28,88 TC1 29900,00"
83/83,49282.01,PINTURERIA,"3 Octubre 25 * PINTURERIAS MARTEL C.","3@ Octubre 25 @67192 * PINTURERIAS MARTEL C.83/83 49282,01"
29 Diciembre 25,55776.0,TRANSPORTE,"* MERPAGO*PASAJESCDP","29 Diciembre 25 297488 * MERPAGO*PASAJESCDP 55776,00"
None,55776.0,TRANSPORTE,"3 Diciembre 25 * MERPAGO*PASAJESCDP","3@ Diciembre 25 458534 * MERPAGO*PASAJESCDP 55776,00"
2 Enero 26,30673.58,TRANSPORTE,"* MERPAGO*PASAJESCDP","@2 Enero 26 492966 * MERPAGO*PASAJESCDP 30673,58"
6 Enero 26,77085.0,COMBUSTIBLE,"* YPF Sanlo Chico","@6 Enero 26 678193 * YPF Sanlo Chico 77085,00"
7 Enero 26,3008.08,GASTO CHICO,"* MERPAGO*SERVICAFA","@7 Enero 26 980347 * MERPAGO*SERVICAFA 3008,08"
7 Enero 26,29998.99,SERVICIO,"* PETROGAS SRL","@7 Enero 26 @39164 * PETROGAS SRL 29998,99"
8 Enero 26,7508.08,GASTO CHICO,"* MERPAGO*PANADERIACROCANTE","@8 Enero 26 318359 * MERPAGO*PANADERIACROCANTE 7508,08"
21 Enero 26,4300.0,COMBUSTIBLE,"* MERPAGO*YPFCOMBUSTIBLESDE","21 Enero 26 381672 * MERPAGO*YPFCOMBUSTIBLESDE 4300,00"
21 Enero 26,75007.98,GASTO GRANDE,"* MERPAGO*LUISACARRIZOYCIAS","21 Enero 26 944387 * MERPAGO*LUISACARRIZOYCIAS 75007,98"
21 Enero 26,8691.15,ALQUILER,"* MERPAGO*ALWAYSRENTACA C.61/ 6","21 Enero 26 299306 * MERPAGO*ALWAYSRENTACA C.61/@6 8691,15"
21 Enero 26,87799.54,ALQUILER,"* MERPAGO*ALWAYSRENTACA c.61/ 3","21 Enero 26 94185@ * MERPAGO*ALWAYSRENTACA c.61/@3 87799,54"
7 Agosto 24,11598.51,TRANSPORTE,"* AEROLINEAS.COM.AR c.18/18","@7 Agosto 24 089798 * AEROLINEAS.COM.AR c.18/18 11598,51"
12 Agosto 25,18977.79,ALQUILER,"* MERPAGO*ALWAYSRENTACA C.06/86","12 Agosto 25 653394 * MERPAGO*ALWAYSRENTACA C.06/86 18977,79"
11 Septiembre 25,14277.25,ALQUILER,"* MERPAGO*ALWAYSRENTACA C.05/ 6","11 Septiembre 25 962932 * MERPAGO*ALWAYSRENTACA C.05/@6 14277,25"
12 Septiembre 25,14277.25,ALQUILER,"84 141 * MERPAGO*ALWAYSRENTACA C.05/ 6","12 Septiembre 25 84@141 * MERPAGO*ALWAYSRENTACA C.05/@6 14277,25"
11 Noviembre 25,1756.66,GASTO CHICO,"* MASTER CLEAN C.63/ 3","11 Noviembre 25 061764 * MASTER CLEAN C.63/@3 1756,66"
